일자|시간|구분,공급량
2019-01-01 01 A,2396.6597
2019-01-01 02 A,2049.1484
2019-01-01 03 A,1872.1862
2019-01-01 04 A,1886.5138
2019-01-01 05 A,1934.953
2019-01-01 06 A,2074.3599
2019-01-01 07 A,2316.9548
2019-01-01 08 A,2688.4365
2019-01-01 09 A,2907.1985
2019-01-01 10 A,2932.8057
2019-01-01 11 A,2764.7073
2019-01-01 12 A,2523.463
2019-01-01 13 A,2479.733
2019-01-01 14 A,2309.9539
2019-01-01 15 A,2095.7168
2019-01-01 16 A,2101.3965
2019-01-01 17 A,2220.9487
2019-01-01 18 A,2497.3442
2019-01-01 19 A,2729.023
2019-01-01 20 A,2773.748
2019-01-01 21 A,2685.987
2019-01-01 22 A,2550.5671
2019-01-01 23 A,2457.2754
2019-01-01 24 A,2308.3699
2019-01-02 01 A,2110.0154
2019-01-02 02 A,1783.6027
2019-01-02 03 A,1761.6107
2019-01-02 04 A,1776.6359
2019-01-02 05 A,2083.9336
2019-01-02 06 A,2151.1948
2019-01-02 07 A,2361.0757
2019-01-02 08 A,2757.4575
2019-01-02 09 A,3091.6382
2019-01-02 10 A,2940.86
2019-01-02 11 A,2770.5425
2019-01-02 12 A,2532.9983
2019-01-02 13 A,2411.0203
2019-01-02 14 A,2200.3447
2019-01-02 15 A,2133.8647
2019-01-02 16 A,2080.165
2019-01-02 17 A,2043.119
2019-01-02 18 A,2470.945
2019-01-02 19 A,2771.0137
2019-01-02 20 A,2844.6926
2019-01-02 21 A,2752.8337
2019-01-02 22 A,2703.803
2019-01-02 23 A,2578.537
2019-01-02 24 A,2511.2112
2019-01-03 01 A,2175.5107
2019-01-03 02 A,1873.7312
2019-01-03 03 A,1860.7439
2019-01-03 04 A,1869.3636
2019-01-03 05 A,2079.651
2019-01-03 06 A,2266.3684
2019-01-03 07 A,2396.7983
2019-01-03 08 A,2911.843
2019-01-03 09 A,3109.3252
2019-01-03 10 A,2913.4797
2019-01-03 11 A,2732.4683
2019-01-03 12 A,2505.3174
2019-01-03 13 A,2154.3904
2019-01-03 14 A,2111.6191
2019-01-03 15 A,2022.9572
2019-01-03 16 A,1803.9033
2019-01-03 17 A,1869.9047
2019-01-03 18 A,2245.5098
2019-01-03 19 A,2698.177
2019-01-03 20 A,2758.241
2019-01-03 21 A,2687.114
2019-01-03 22 A,2677.1565
2019-01-03 23 A,2474.3884
2019-01-03 24 A,2451.9954
2019-01-04 01 A,2356.4355
2019-01-04 02 A,1891.9712
2019-01-04 03 A,1873.6678
2019-01-04 04 A,1870.9995
2019-01-04 05 A,2073.8203
2019-01-04 06 A,2266.3684
2019-01-04 07 A,2411.4019
2019-01-04 08 A,2798.1797
2019-01-04 09 A,3014.045
2019-01-04 10 A,2935.707
2019-01-04 11 A,2707.7256
2019-01-04 12 A,2507.6426
2019-01-04 13 A,2241.1265
2019-01-04 14 A,2110.9246
2019-01-04 15 A,2001.3695
2019-01-04 16 A,1893.9777
2019-01-04 17 A,1886.088
2019-01-04 18 A,2181.3755
2019-01-04 19 A,2461.4438
2019-01-04 20 A,2522.7888
2019-01-04 21 A,2396.672
2019-01-04 22 A,2261.6624
2019-01-04 23 A,2186.9622
2019-01-04 24 A,2060.9363
2019-01-05 01 A,1822.4061
2019-01-05 02 A,1540.4414
2019-01-05 03 A,1476.5248
2019-01-05 04 A,1532.1968
2019-01-05 05 A,1709.3618
2019-01-05 06 A,1786.25
2019-01-05 07 A,2113.0247
2019-01-05 08 A,2497.7249
2019-01-05 09 A,2749.1982
2019-01-05 10 A,2576.9055
2019-01-05 11 A,2433.409
2019-01-05 12 A,2293.0686
2019-01-05 13 A,2121.238
2019-01-05 14 A,2006.4117
2019-01-05 15 A,1857.7366
2019-01-05 16 A,1777.5686
2019-01-05 17 A,1871.6844
2019-01-05 18 A,2247.167
2019-01-05 19 A,2676.383
2019-01-05 20 A,2773.6543
2019-01-05 21 A,2699.5498
2019-01-05 22 A,2729.7275
2019-01-05 23 A,2522.4622
2019-01-05 24 A,2437.7551
2019-01-06 01 A,2437.229
2019-01-06 02 A,1977.7754
2019-01-06 03 A,1991.4608
2019-01-06 04 A,1880.6799
2019-01-06 05 A,2132.3972
2019-01-06 06 A,2350.3953
2019-01-06 07 A,2475.329
2019-01-06 08 A,2769.3215
2019-01-06 09 A,2865.9644
2019-01-06 10 A,2922.7715
2019-01-06 11 A,2733.9426
2019-01-06 12 A,2503.1775
2019-01-06 13 A,2176.7751
2019-01-06 14 A,2010.0732
2019-01-06 15 A,1857.7366
2019-01-06 16 A,1757.4442
2019-01-06 17 A,1846.5068
2019-01-06 18 A,2138.6565
2019-01-06 19 A,2596.6753
2019-01-06 20 A,2677.814
2019-01-06 21 A,2641.3923
2019-01-06 22 A,2557.4753
2019-01-06 23 A,2439.9658
2019-01-06 24 A,2317.1587
2019-01-07 01 A,2114.496
2019-01-07 02 A,1916.5687
2019-01-07 03 A,1761.6107
2019-01-07 04 A,1775.0
2019-01-07 05 A,1994.249
2019-01-07 06 A,2156.268
2019-01-07 07 A,2371.3635
2019-01-07 08 A,2722.1672
2019-01-07 09 A,3043.0957
2019-01-07 10 A,2859.9402
2019-01-07 11 A,2695.9492
2019-01-07 12 A,2357.9631
2019-01-07 13 A,2161.89
2019-01-07 14 A,2081.604
2019-01-07 15 A,1939.3555
2019-01-07 16 A,1801.4304
2019-01-07 17 A,1899.278
2019-01-07 18 A,2261.0815
2019-01-07 19 A,2511.969
2019-01-07 20 A,2593.6606
2019-01-07 21 A,2356.275
2019-01-07 22 A,2361.1992
2019-01-07 23 A,2384.2725
2019-01-07 24 A,2159.4695
2019-01-08 01 A,1975.5273
2019-01-08 02 A,1652.5964
2019-01-08 03 A,1633.8915
2019-01-08 04 A,1641.8672
2019-01-08 05 A,1864.0891
2019-01-08 06 A,2011.9296
2019-01-08 07 A,2190.5505
2019-01-08 08 A,2854.7039
2019-01-08 09 A,2758.1614
2019-01-08 10 A,2717.6301
2019-01-08 11 A,2488.6477
2019-01-08 12 A,2306.7878
2019-01-08 13 A,2190.6013
2019-01-08 14 A,2035.5294
2019-01-08 15 A,1987.9069
2019-01-08 16 A,1941.1534
2019-01-08 17 A,2065.335
2019-01-08 18 A,2329.8206
2019-01-08 19 A,2785.2722
2019-01-08 20 A,2861.001
2019-01-08 21 A,2682.0671
2019-01-08 22 A,2671.8652
2019-01-08 23 A,2557.63
2019-01-08 24 A,2448.9893
2019-01-09 01 A,2287.1587
2019-01-09 02 A,2142.98
2019-01-09 03 A,1994.9443
2019-01-09 04 A,1993.29
2019-01-09 05 A,2186.4626
2019-01-09 06 A,2448.2522
2019-01-09 07 A,2702.5425
2019-01-09 08 A,3082.2803
2019-01-09 09 A,3260.419
2019-01-09 10 A,3142.7585
2019-01-09 11 A,2984.921
2019-01-09 12 A,2737.1892
2019-01-09 13 A,2439.4763
2019-01-09 14 A,2344.809
2019-01-09 15 A,2174.2852
2019-01-09 16 A,2134.5557
2019-01-09 17 A,2138.3003
2019-01-09 18 A,2429.562
2019-01-09 19 A,2797.5007
2019-01-09 20 A,2923.8464
2019-01-09 21 A,2829.3594
2019-01-09 22 A,2783.4084
2019-01-09 23 A,2901.3987
2019-01-09 24 A,2339.4805
2019-01-10 01 A,2107.5137
2019-01-10 02 A,1890.5485
2019-01-10 03 A,1641.0852
2019-01-10 04 A,1649.1461
2019-01-10 05 A,1832.7991
2019-01-10 06 A,2049.327
2019-01-10 07 A,2225.6462
2019-01-10 08 A,2641.9192
2019-01-10 09 A,2783.6487
2019-01-10 10 A,2586.6343
2019-01-10 11 A,2474.8762
2019-01-10 12 A,2230.0967
2019-01-10 13 A,2077.0693
2019-01-10 14 A,2024.035
2019-01-10 15 A,1899.625
2019-01-10 16 A,1891.9114
2019-01-10 17 A,1962.0385
2019-01-10 18 A,2233.6624
2019-01-10 19 A,2509.442
2019-01-10 20 A,2536.0957
2019-01-10 21 A,2449.902
2019-01-10 22 A,2345.84
2019-01-10 23 A,2213.3894
2019-01-10 24 A,2116.0059
2019-01-11 01 A,1871.952
2019-01-11 02 A,1717.7831
2019-01-11 03 A,1490.1721
2019-01-11 04 A,1602.3799
2019-01-11 05 A,1856.886
2019-01-11 06 A,2022.5879
2019-01-11 07 A,2069.2852
2019-01-11 08 A,2561.567
2019-01-11 09 A,2677.2449
2019-01-11 10 A,2647.204
2019-01-11 11 A,2498.7046
2019-01-11 12 A,2252.772
2019-01-11 13 A,2003.2319
2019-01-11 14 A,1901.6271
2019-01-11 15 A,1717.6427
2019-01-11 16 A,1711.8353
2019-01-11 17 A,1699.433
2019-01-11 18 A,2046.1656
2019-01-11 19 A,2341.4548
2019-01-11 20 A,2397.488
2019-01-11 21 A,2205.9077
2019-01-11 22 A,2169.4983
2019-01-11 23 A,2038.2458
2019-01-11 24 A,1917.3158
2019-01-12 01 A,1736.3757
2019-01-12 02 A,1511.7969
2019-01-12 03 A,1432.5612
2019-01-12 04 A,1467.9181
2019-01-12 05 A,1582.6594
2019-01-12 06 A,1751.8796
2019-01-12 07 A,2070.8594
2019-01-12 08 A,2396.4084
2019-01-12 09 A,2535.0242
2019-01-12 10 A,2467.07
2019-01-12 11 A,2317.1843
2019-01-12 12 A,2214.633
2019-01-12 13 A,1986.8562
2019-01-12 14 A,1917.2615
2019-01-12 15 A,1794.383
2019-01-12 16 A,1615.0768
2019-01-12 17 A,1700.063
2019-01-12 18 A,2039.9954
2019-01-12 19 A,2274.1733
2019-01-12 20 A,2357.0693
2019-01-12 21 A,2267.3755
2019-01-12 22 A,2246.4866
2019-01-12 23 A,2197.6113
2019-01-12 24 A,2023.0746
2019-01-13 01 A,1720.5066
2019-01-13 02 A,1433.3042
2019-01-13 03 A,1329.6813
2019-01-13 04 A,1485.2751
2019-01-13 05 A,1610.9829
2019-01-13 06 A,1948.9241
2019-01-13 07 A,2137.45
2019-01-13 08 A,2148.2783
2019-01-13 09 A,2307.1912
2019-01-13 10 A,2475.8865
2019-01-13 11 A,2432.4453
2019-01-13 12 A,2284.1682
2019-01-13 13 A,2009.6702
2019-01-13 14 A,1914.2109
2019-01-13 15 A,1719.6304
2019-01-13 16 A,1665.8844
2019-01-13 17 A,1708.4006
2019-01-13 18 A,2046.5365
2019-01-13 19 A,2389.6504
2019-01-13 20 A,2524.5454
2019-01-13 21 A,2330.169
2019-01-13 22 A,2309.1396
2019-01-13 23 A,2121.3904
2019-01-13 24 A,1972.6721
2019-01-14 01 A,1892.2136
2019-01-14 02 A,1516.3215
2019-01-14 03 A,1570.5579
2019-01-14 04 A,1538.5736
2019-01-14 05 A,1571.1056
2019-01-14 06 A,1663.264
2019-01-14 07 A,1783.9995
2019-01-14 08 A,2216.6304
2019-01-14 09 A,2552.9067
2019-01-14 10 A,2520.4192
2019-01-14 11 A,2451.3857
2019-01-14 12 A,2333.8513
2019-01-14 13 A,2069.4539
2019-01-14 14 A,1929.4897
2019-01-14 15 A,1798.0984
2019-01-14 16 A,1679.8435
2019-01-14 17 A,1707.51
2019-01-14 18 A,2077.0457
2019-01-14 19 A,2465.5938
2019-01-14 20 A,2542.3667
2019-01-14 21 A,2404.2012
2019-01-14 22 A,2308.7617
2019-01-14 23 A,2160.5781
2019-01-14 24 A,1977.9143
2019-01-15 01 A,1757.3777
2019-01-15 02 A,1492.762
2019-01-15 03 A,1406.759
2019-01-15 04 A,1423.3267
2019-01-15 05 A,1584.1372
2019-01-15 06 A,1690.8052
2019-01-15 07 A,2078.676
2019-01-15 08 A,2418.2947
2019-01-15 09 A,2564.7456
2019-01-15 10 A,2423.58
2019-01-15 11 A,2343.0815
2019-01-15 12 A,2208.8713
2019-01-15 13 A,2090.7632
2019-01-15 14 A,1922.7046
2019-01-15 15 A,1866.6826
2019-01-15 16 A,1891.4926
2019-01-15 17 A,1953.9138
2019-01-15 18 A,2287.1135
2019-01-15 19 A,2592.329
2019-01-15 20 A,2630.167
2019-01-15 21 A,2575.749
2019-01-15 22 A,2514.4766
2019-01-15 23 A,2374.454
2019-01-15 24 A,2290.8147
2019-01-16 01 A,2102.5144
