일자|시간|구분,공급량
2019-01-01 01 A,2224.3132
2019-01-01 02 A,1966.9393
2019-01-01 03 A,1746.7148
2019-01-01 04 A,1729.7994
2019-01-01 05 A,1903.8744
2019-01-01 06 A,1872.5928
2019-01-01 07 A,1842.3223
2019-01-01 08 A,2256.9958
2019-01-01 09 A,2288.4348
2019-01-01 10 A,2521.1565
2019-01-01 11 A,2482.8281
2019-01-01 12 A,2269.8896
2019-01-01 13 A,2219.3464
2019-01-01 14 A,2136.541
2019-01-01 15 A,2037.2976
2019-01-01 16 A,2060.9753
2019-01-01 17 A,2126.7605
2019-01-01 18 A,2390.1277
2019-01-01 19 A,2490.0164
2019-01-01 20 A,2561.6096
2019-01-01 21 A,2470.103
2019-01-01 22 A,2330.5498
2019-01-01 23 A,2304.3308
2019-01-01 24 A,2098.664
2019-01-02 01 A,2102.1943
2019-01-02 02 A,1861.6482
2019-01-02 03 A,1775.8091
2019-01-02 04 A,1765.3875
2019-01-02 05 A,2091.3445
2019-01-02 06 A,2201.7754
2019-01-02 07 A,2646.6194
2019-01-02 08 A,3163.5369
2019-01-02 09 A,3230.253
2019-01-02 10 A,3030.6294
2019-01-02 11 A,2901.8662
2019-01-02 12 A,2555.9832
2019-01-02 13 A,2458.1484
2019-01-02 14 A,2303.9932
2019-01-02 15 A,2181.2505
2019-01-02 16 A,2157.0515
2019-01-02 17 A,2129.92
2019-01-02 18 A,2525.6824
2019-01-02 19 A,2785.5256
2019-01-02 20 A,2965.2104
2019-01-02 21 A,2802.57
2019-01-02 22 A,2743.612
2019-01-02 23 A,2641.871
2019-01-02 24 A,2468.9236
2019-01-03 01 A,2194.3477
2019-01-03 02 A,1895.9183
2019-01-03 03 A,1859.2754
2019-01-03 04 A,1857.4159
2019-01-03 05 A,2219.9512
2019-01-03 06 A,2347.3662
2019-01-03 07 A,2659.1558
2019-01-03 08 A,3190.0713
2019-01-03 09 A,3307.423
2019-01-03 10 A,3073.297
2019-01-03 11 A,2838.1902
2019-01-03 12 A,2560.9177
2019-01-03 13 A,2333.3667
2019-01-03 14 A,2150.2786
2019-01-03 15 A,2109.1274
2019-01-03 16 A,2058.157
2019-01-03 17 A,2100.3433
2019-01-03 18 A,2263.7378
2019-01-03 19 A,2738.5383
2019-01-03 20 A,2836.2039
2019-01-03 21 A,2873.0215
2019-01-03 22 A,2735.7368
2019-01-03 23 A,2547.0544
2019-01-03 24 A,2421.7224
2019-01-04 01 A,2279.7927
2019-01-04 02 A,1921.2778
2019-01-04 03 A,1870.9282
2019-01-04 04 A,1864.8523
2019-01-04 05 A,2128.8833
2019-01-04 06 A,2303.722
2019-01-04 07 A,2668.7986
2019-01-04 08 A,3201.6396
2019-01-04 09 A,3316.0623
2019-01-04 10 A,3067.4644
2019-01-04 11 A,2832.297
2019-01-04 12 A,2540.674
2019-01-04 13 A,2309.8096
2019-01-04 14 A,2194.2007
2019-01-04 15 A,1994.8423
2019-01-04 16 A,1893.5652
2019-01-04 17 A,2025.1244
2019-01-04 18 A,2229.3245
2019-01-04 19 A,2517.8274
2019-01-04 20 A,2569.7666
2019-01-04 21 A,2477.6516
2019-01-04 22 A,2356.7683
2019-01-04 23 A,2228.5996
2019-01-04 24 A,2105.5723
2019-01-05 01 A,1799.2511
2019-01-05 02 A,1610.7988
2019-01-05 03 A,1400.0135
2019-01-05 04 A,1499.1423
2019-01-05 05 A,1640.2148
2019-01-05 06 A,1696.4045
2019-01-05 07 A,1715.911
2019-01-05 08 A,2088.977
2019-01-05 09 A,2377.802
2019-01-05 10 A,2394.35
2019-01-05 11 A,2371.339
2019-01-05 12 A,2169.633
2019-01-05 13 A,2047.3483
2019-01-05 14 A,1974.3218
2019-01-05 15 A,1787.9794
2019-01-05 16 A,1763.4108
2019-01-05 17 A,1842.907
2019-01-05 18 A,2199.8215
2019-01-05 19 A,2545.1743
2019-01-05 20 A,2635.582
2019-01-05 21 A,2578.4526
2019-01-05 22 A,2556.0183
2019-01-05 23 A,2459.902
2019-01-05 24 A,2535.889
2019-01-06 01 A,2351.4316
2019-01-06 02 A,1945.2654
2019-01-06 03 A,1915.3442
2019-01-06 04 A,1801.4236
2019-01-06 05 A,2096.096
2019-01-06 06 A,2184.1514
2019-01-06 07 A,2190.7915
2019-01-06 08 A,2462.4412
2019-01-06 09 A,2655.405
2019-01-06 10 A,2758.5034
2019-01-06 11 A,2572.6887
2019-01-06 12 A,2336.3672
2019-01-06 13 A,2092.3015
2019-01-06 14 A,1934.4352
2019-01-06 15 A,1765.9565
2019-01-06 16 A,1817.5491
2019-01-06 17 A,1848.7496
2019-01-06 18 A,2141.6575
2019-01-06 19 A,2428.2366
2019-01-06 20 A,2576.3945
2019-01-06 21 A,2520.799
2019-01-06 22 A,2476.8074
2019-01-06 23 A,2311.3057
2019-01-06 24 A,2229.9243
2019-01-07 01 A,2137.4702
2019-01-07 02 A,1946.5857
2019-01-07 03 A,1738.3717
2019-01-07 04 A,1810.166
2019-01-07 05 A,2095.8403
2019-01-07 06 A,2201.7754
2019-01-07 07 A,2523.803
2019-01-07 08 A,3056.7703
2019-01-07 09 A,3145.5571
2019-01-07 10 A,2994.0364
2019-01-07 11 A,2786.5496
2019-01-07 12 A,2444.6233
2019-01-07 13 A,2218.8042
2019-01-07 14 A,2040.3715
2019-01-07 15 A,2001.5016
2019-01-07 16 A,1871.5497
2019-01-07 17 A,1972.4977
2019-01-07 18 A,2183.6301
2019-01-07 19 A,2563.3684
2019-01-07 20 A,2639.6113
2019-01-07 21 A,2534.4338
2019-01-07 22 A,2475.2422
2019-01-07 23 A,2381.4714
2019-01-07 24 A,2158.7073
2019-01-08 01 A,1969.0831
2019-01-08 02 A,1725.7534
2019-01-08 03 A,1668.3184
2019-01-08 04 A,1654.1743
2019-01-08 05 A,1933.9994
2019-01-08 06 A,2089.8628
2019-01-08 07 A,2418.9475
2019-01-08 08 A,2929.37
2019-01-08 09 A,3025.1318
2019-01-08 10 A,2836.0916
2019-01-08 11 A,2630.677
2019-01-08 12 A,2427.6726
2019-01-08 13 A,2231.2231
2019-01-08 14 A,2187.371
2019-01-08 15 A,2098.99
2019-01-08 16 A,2008.1831
2019-01-08 17 A,2064.7358
2019-01-08 18 A,2435.9912
2019-01-08 19 A,2907.146
2019-01-08 20 A,2903.0315
2019-01-08 21 A,2804.3574
2019-01-08 22 A,2741.7358
2019-01-08 23 A,2622.5303
2019-01-08 24 A,2482.8281
2019-01-09 01 A,2379.4993
2019-01-09 02 A,2151.921
2019-01-09 03 A,2004.6599
2019-01-09 04 A,2080.2576
2019-01-09 05 A,2173.8357
2019-01-09 06 A,2350.2322
2019-01-09 07 A,2655.0408
2019-01-09 08 A,3149.984
2019-01-09 09 A,3323.9636
2019-01-09 10 A,3212.2627
2019-01-09 11 A,3141.0798
2019-01-09 12 A,2809.356
2019-01-09 13 A,2496.9026
2019-01-09 14 A,2400.0288
2019-01-09 15 A,2226.717
2019-01-09 16 A,2125.0044
2019-01-09 17 A,2161.0461
2019-01-09 18 A,2499.994
2019-01-09 19 A,2844.152
2019-01-09 20 A,2969.085
2019-01-09 21 A,2862.8257
2019-01-09 22 A,2804.9817
2019-01-09 23 A,3495.6536
2019-01-09 24 A,2372.4458
2019-01-10 01 A,2087.0464
2019-01-10 02 A,1791.9402
2019-01-10 03 A,1582.2119
2019-01-10 04 A,1680.5988
2019-01-10 05 A,1900.0232
2019-01-10 06 A,2123.016
2019-01-10 07 A,2336.3892
2019-01-10 08 A,2735.0044
2019-01-10 09 A,2787.0315
2019-01-10 10 A,2627.0183
2019-01-10 11 A,2638.104
2019-01-10 12 A,2301.3604
2019-01-10 13 A,2146.961
2019-01-10 14 A,2065.972
2019-01-10 15 A,1957.1425
2019-01-10 16 A,1926.1903
2019-01-10 17 A,2040.2921
2019-01-10 18 A,2265.5159
2019-01-10 19 A,2544.6677
2019-01-10 20 A,2625.0906
2019-01-10 21 A,2536.7605
2019-01-10 22 A,2438.7043
2019-01-10 23 A,2382.8826
2019-01-10 24 A,2261.568
2019-01-11 01 A,1908.918
2019-01-11 02 A,1740.8673
2019-01-11 03 A,1565.7517
2019-01-11 04 A,1605.8434
2019-01-11 05 A,1830.416
2019-01-11 06 A,2119.8503
2019-01-11 07 A,2226.5696
2019-01-11 08 A,2775.6958
2019-01-11 09 A,2900.9846
2019-01-11 10 A,2715.59
2019-01-11 11 A,2616.7915
2019-01-11 12 A,2344.8762
2019-01-11 13 A,2103.9277
2019-01-11 14 A,1924.0492
2019-01-11 15 A,1801.04
2019-01-11 16 A,1710.0211
2019-01-11 17 A,1715.3998
2019-01-11 18 A,2071.8738
2019-01-11 19 A,2415.1506
2019-01-11 20 A,2449.3457
2019-01-11 21 A,2371.6816
2019-01-11 22 A,2217.858
2019-01-11 23 A,2132.4553
2019-01-11 24 A,2013.7719
2019-01-12 01 A,1790.2914
2019-01-12 02 A,1478.3472
2019-01-12 03 A,1315.0981
2019-01-12 04 A,1371.4678
2019-01-12 05 A,1491.6844
2019-01-12 06 A,1575.4445
2019-01-12 07 A,1609.7377
2019-01-12 08 A,1792.073
2019-01-12 09 A,2083.3425
2019-01-12 10 A,2229.9355
2019-01-12 11 A,2165.8293
2019-01-12 12 A,2058.8936
2019-01-12 13 A,1831.6776
2019-01-12 14 A,1809.0571
2019-01-12 15 A,1664.975
2019-01-12 16 A,1624.6825
2019-01-12 17 A,1691.9808
2019-01-12 18 A,2053.3499
2019-01-12 19 A,2243.0942
2019-01-12 20 A,2226.6257
2019-01-12 21 A,2197.7957
2019-01-12 22 A,2051.856
2019-01-12 23 A,2009.8134
2019-01-12 24 A,1770.1549
2019-01-13 01 A,1715.7593
2019-01-13 02 A,1469.9785
2019-01-13 03 A,1328.5137
2019-01-13 04 A,1403.706
2019-01-13 05 A,1520.8488
2019-01-13 06 A,1616.1646
2019-01-13 07 A,1688.255
2019-01-13 08 A,1901.0896
2019-01-13 09 A,2231.043
2019-01-13 10 A,2302.236
2019-01-13 11 A,2252.5
2019-01-13 12 A,2141.2083
2019-01-13 13 A,1909.1322
2019-01-13 14 A,1787.3662
2019-01-13 15 A,1574.1018
2019-01-13 16 A,1566.7452
2019-01-13 17 A,1625.927
2019-01-13 18 A,1969.1672
2019-01-13 19 A,2341.3452
2019-01-13 20 A,2383.552
2019-01-13 21 A,2248.0088
2019-01-13 22 A,2175.2659
2019-01-13 23 A,2175.1292
2019-01-13 24 A,2033.533
2019-01-14 01 A,1971.8157
2019-01-14 02 A,1768.3955
2019-01-14 03 A,1584.4058
2019-01-14 04 A,1756.3679
2019-01-14 05 A,1689.1514
