일자|시간|구분,공급량
2019-01-01 01 A,247.42946
2019-01-01 02 A,247.42946
2019-01-01 03 A,271.82767
2019-01-01 04 A,297.2254
2019-01-01 05 A,297.2254
2019-01-01 06 A,297.2254
2019-01-01 07 A,297.2254
2019-01-01 08 A,297.2254
2019-01-01 09 A,297.2254
2019-01-01 10 A,247.42946
2019-01-01 11 A,247.42946
2019-01-01 12 A,247.42946
2019-01-01 13 A,244.74171
2019-01-01 14 A,242.93457
2019-01-01 15 A,239.48111
2019-01-01 16 A,242.93457
2019-01-01 17 A,244.74171
2019-01-01 18 A,247.42946
2019-01-01 19 A,247.42946
2019-01-01 20 A,247.42946
2019-01-01 21 A,247.42946
2019-01-01 22 A,247.42946
2019-01-01 23 A,247.42946
2019-01-01 24 A,247.42946
2019-01-02 01 A,247.42946
2019-01-02 02 A,247.42946
2019-01-02 03 A,247.42946
2019-01-02 04 A,297.2254
2019-01-02 05 A,307.04916
2019-01-02 06 A,307.04916
2019-01-02 07 A,307.04916
2019-01-02 08 A,307.04916
2019-01-02 09 A,307.04916
2019-01-02 10 A,297.2254
2019-01-02 11 A,247.42946
2019-01-02 12 A,247.42946
2019-01-02 13 A,244.74171
2019-01-02 14 A,223.764
2019-01-02 15 A,223.764
2019-01-02 16 A,223.764
2019-01-02 17 A,223.764
2019-01-02 18 A,242.93457
2019-01-02 19 A,247.42946
2019-01-02 20 A,247.42946
2019-01-02 21 A,247.42946
2019-01-02 22 A,247.42946
2019-01-02 23 A,247.42946
2019-01-02 24 A,247.42946
2019-01-03 01 A,287.46048
2019-01-03 02 A,297.2254
2019-01-03 03 A,307.04916
2019-01-03 04 A,307.04916
2019-01-03 05 A,307.04916
2019-01-03 06 A,307.04916
2019-01-03 07 A,307.04916
2019-01-03 08 A,307.04916
2019-01-03 09 A,307.04916
2019-01-03 10 A,297.2254
2019-01-03 11 A,247.42946
2019-01-03 12 A,247.42946
2019-01-03 13 A,223.764
2019-01-03 14 A,223.764
2019-01-03 15 A,223.764
2019-01-03 16 A,223.764
2019-01-03 17 A,223.764
2019-01-03 18 A,223.764
2019-01-03 19 A,244.74171
2019-01-03 20 A,247.42946
2019-01-03 21 A,247.42946
2019-01-03 22 A,247.42946
2019-01-03 23 A,247.42946
2019-01-03 24 A,247.42946
2019-01-04 01 A,247.42946
2019-01-04 02 A,297.2254
2019-01-04 03 A,307.04916
2019-01-04 04 A,307.04916
2019-01-04 05 A,307.04916
2019-01-04 06 A,307.04916
2019-01-04 07 A,307.04916
2019-01-04 08 A,307.04916
2019-01-04 09 A,307.04916
2019-01-04 10 A,271.82767
2019-01-04 11 A,247.42946
2019-01-04 12 A,244.74171
2019-01-04 13 A,223.764
2019-01-04 14 A,223.764
2019-01-04 15 A,223.764
2019-01-04 16 A,223.764
2019-01-04 17 A,223.764
2019-01-04 18 A,223.764
2019-01-04 19 A,223.764
2019-01-04 20 A,223.764
2019-01-04 21 A,239.48111
2019-01-04 22 A,242.93457
2019-01-04 23 A,244.74171
2019-01-04 24 A,244.74171
2019-01-05 01 A,244.74171
2019-01-05 02 A,244.74171
2019-01-05 03 A,244.74171
2019-01-05 04 A,247.42946
2019-01-05 05 A,247.42946
2019-01-05 06 A,247.42946
2019-01-05 07 A,247.42946
2019-01-05 08 A,247.42946
2019-01-05 09 A,247.42946
2019-01-05 10 A,247.42946
2019-01-05 11 A,242.93457
2019-01-05 12 A,223.764
2019-01-05 13 A,223.764
2019-01-05 14 A,223.764
2019-01-05 15 A,223.764
2019-01-05 16 A,223.764
2019-01-05 17 A,223.764
2019-01-05 18 A,223.764
2019-01-05 19 A,244.74171
2019-01-05 20 A,247.42946
2019-01-05 21 A,247.42946
2019-01-05 22 A,247.42946
2019-01-05 23 A,247.42946
2019-01-05 24 A,247.42946
2019-01-06 01 A,271.82767
2019-01-06 02 A,297.2254
2019-01-06 03 A,297.2254
2019-01-06 04 A,297.2254
2019-01-06 05 A,297.2254
2019-01-06 06 A,297.2254
2019-01-06 07 A,307.04916
2019-01-06 08 A,307.04916
2019-01-06 09 A,297.2254
2019-01-06 10 A,247.42946
2019-01-06 11 A,247.42946
2019-01-06 12 A,247.42946
2019-01-06 13 A,223.764
2019-01-06 14 A,223.764
2019-01-06 15 A,223.764
2019-01-06 16 A,223.764
2019-01-06 17 A,223.764
2019-01-06 18 A,223.764
2019-01-06 19 A,242.93457
2019-01-06 20 A,247.42946
2019-01-06 21 A,247.42946
2019-01-06 22 A,247.42946
2019-01-06 23 A,247.42946
2019-01-06 24 A,247.42946
2019-01-07 01 A,247.42946
2019-01-07 02 A,247.42946
2019-01-07 03 A,271.82767
2019-01-07 04 A,297.2254
2019-01-07 05 A,297.2254
2019-01-07 06 A,307.04916
2019-01-07 07 A,307.04916
2019-01-07 08 A,307.04916
2019-01-07 09 A,307.04916
2019-01-07 10 A,247.42946
2019-01-07 11 A,247.42946
2019-01-07 12 A,242.93457
2019-01-07 13 A,223.764
2019-01-07 14 A,223.764
2019-01-07 15 A,223.764
2019-01-07 16 A,223.764
2019-01-07 17 A,223.764
2019-01-07 18 A,223.764
2019-01-07 19 A,223.764
2019-01-07 20 A,242.93457
2019-01-07 21 A,244.74171
2019-01-07 22 A,247.42946
