일자|시간|구분,공급량
2019-01-01 01 A,2440.492
2019-01-01 02 A,2303.3132
2019-01-01 03 A,2168.5867
2019-01-01 04 A,2228.4978
2019-01-01 05 A,2269.1562
2019-01-01 06 A,2219.9897
2019-01-01 07 A,2166.6494
2019-01-01 08 A,2122.4407
2019-01-01 09 A,2210.1667
2019-01-01 10 A,2194.101
2019-01-01 11 A,2032.7396
2019-01-01 12 A,2194.1296
2019-01-01 13 A,2164.2087
2019-01-01 14 A,2136.8828
2019-01-01 15 A,2156.7842
2019-01-01 16 A,2156.7842
2019-01-01 17 A,2175.74
2019-01-01 18 A,2065.384
2019-01-01 19 A,2040.4198
2019-01-01 20 A,2053.8496
2019-01-01 21 A,2057.7737
2019-01-01 22 A,2030.9364
2019-01-01 23 A,2025.3158
2019-01-01 24 A,1973.296
2019-01-02 01 A,2532.953
2019-01-02 02 A,2398.5334
2019-01-02 03 A,2602.9
2019-01-02 04 A,2532.955
2019-01-02 05 A,2529.782
2019-01-02 06 A,2418.5925
2019-01-02 07 A,2655.978
2019-01-02 08 A,2316.8452
2019-01-02 09 A,2369.7488
2019-01-02 10 A,2477.7412
2019-01-02 11 A,2472.4966
2019-01-02 12 A,2559.5728
2019-01-02 13 A,2508.1145
2019-01-02 14 A,2327.0813
2019-01-02 15 A,2255.9324
2019-01-02 16 A,2255.9324
2019-01-02 17 A,2341.1118
2019-01-02 18 A,2418.3604
2019-01-02 19 A,2562.9192
2019-01-02 20 A,2550.4275
2019-01-02 21 A,2430.4924
2019-01-02 22 A,2768.429
2019-01-02 23 A,2525.6406
2019-01-02 24 A,2491.4158
2019-01-03 01 A,2380.3562
2019-01-03 02 A,2343.9163
2019-01-03 03 A,2509.239
2019-01-03 04 A,2353.9846
2019-01-03 05 A,2452.5032
2019-01-03 06 A,2466.0854
2019-01-03 07 A,2588.2544
2019-01-03 08 A,2536.2126
2019-01-03 09 A,2536.2126
2019-01-03 10 A,2592.3828
2019-01-03 11 A,2463.242
2019-01-03 12 A,2590.4893
2019-01-03 13 A,2327.0127
2019-01-03 14 A,2126.224
2019-01-03 15 A,2001.6785
2019-01-03 16 A,1931.0848
2019-01-03 17 A,1929.3116
2019-01-03 18 A,2058.0938
2019-01-03 19 A,2526.2493
2019-01-03 20 A,2520.5332
2019-01-03 21 A,2541.1702
2019-01-03 22 A,2451.4868
2019-01-03 23 A,2610.0286
2019-01-03 24 A,2529.4558
2019-01-04 01 A,2629.1929
2019-01-04 02 A,2388.191
2019-01-04 03 A,2568.2024
2019-01-04 04 A,2525.123
2019-01-04 05 A,2688.865
2019-01-04 06 A,2466.0854
2019-01-04 07 A,2466.0854
2019-01-04 08 A,2546.6624
2019-01-04 09 A,2536.2126
2019-01-04 10 A,2341.2366
2019-01-04 11 A,2589.5537
2019-01-04 12 A,2548.0771
2019-01-04 13 A,2370.082
2019-01-04 14 A,2152.9482
2019-01-04 15 A,1972.8287
2019-01-04 16 A,1967.0798
2019-01-04 17 A,2073.1538
2019-01-04 18 A,2112.457
2019-01-04 19 A,2314.0632
2019-01-04 20 A,2421.4768
2019-01-04 21 A,2491.592
2019-01-04 22 A,2433.9978
2019-01-04 23 A,2367.3374
2019-01-04 24 A,2274.5908
2019-01-05 01 A,2021.0496
2019-01-05 02 A,2093.9758
2019-01-05 03 A,2001.0808
2019-01-05 04 A,2066.297
2019-01-05 05 A,2137.1377
2019-01-05 06 A,2250.157
2019-01-05 07 A,2048.2532
2019-01-05 08 A,2025.394
2019-01-05 09 A,2108.7356
2019-01-05 10 A,1989.2399
2019-01-05 11 A,2178.5413
2019-01-05 12 A,2201.949
2019-01-05 13 A,2084.1196
2019-01-05 14 A,1945.8003
2019-01-05 15 A,1749.7458
2019-01-05 16 A,1736.7485
2019-01-05 17 A,1801.2777
2019-01-05 18 A,1978.37
2019-01-05 19 A,2335.5479
2019-01-05 20 A,2427.4277
2019-01-05 21 A,2461.8179
2019-01-05 22 A,2448.2683
2019-01-05 23 A,2504.201
2019-01-05 24 A,2646.6926
2019-01-06 01 A,2513.3176
2019-01-06 02 A,2391.9646
2019-01-06 03 A,2470.5808
2019-01-06 04 A,2391.9646
2019-01-06 05 A,2411.1218
2019-01-06 06 A,2338.0156
2019-01-06 07 A,2347.6824
2019-01-06 08 A,2295.0674
2019-01-06 09 A,2209.5117
2019-01-06 10 A,2382.1272
2019-01-06 11 A,2402.008
2019-01-06 12 A,2548.409
2019-01-06 13 A,2027.5724
2019-01-06 14 A,1846.3569
2019-01-06 15 A,1715.4653
2019-01-06 16 A,1737.183
2019-01-06 17 A,1749.7458
2019-01-06 18 A,2030.3032
2019-01-06 19 A,2179.0159
2019-01-06 20 A,2406.719
2019-01-06 21 A,2426.9187
2019-01-06 22 A,2436.832
2019-01-06 23 A,2449.1287
2019-01-06 24 A,2317.8052
2019-01-07 01 A,2483.467
2019-01-07 02 A,2617.3179
2019-01-07 03 A,2129.732
2019-01-07 04 A,2349.8591
2019-01-07 05 A,2421.797
2019-01-07 06 A,2437.9316
2019-01-07 07 A,2229.8542
2019-01-07 08 A,2443.0508
2019-01-07 09 A,2443.0508
2019-01-07 10 A,2627.7947
2019-01-07 11 A,2527.7627
2019-01-07 12 A,2431.1843
2019-01-07 13 A,2168.0125
2019-01-07 14 A,2073.1538
2019-01-07 15 A,2079.062
2019-01-07 16 A,1973.3596
2019-01-07 17 A,2078.2305
2019-01-07 18 A,2188.5603
2019-01-07 19 A,2399.243
2019-01-07 20 A,2471.776
2019-01-07 21 A,2463.2268
2019-01-07 22 A,2494.416
2019-01-07 23 A,2495.7776
2019-01-07 24 A,2406.591
2019-01-08 01 A,2358.4902
2019-01-08 02 A,2513.5286
2019-01-08 03 A,2339.2651
2019-01-08 04 A,2269.7446
2019-01-08 05 A,2551.9387
2019-01-08 06 A,2184.335
2019-01-08 07 A,2307.1765
2019-01-08 08 A,2313.6216
2019-01-08 09 A,2374.4954
2019-01-08 10 A,2571.2598
2019-01-08 11 A,2570.881
2019-01-08 12 A,2331.1611
2019-01-08 13 A,2304.9294
2019-01-08 14 A,2154.4863
2019-01-08 15 A,2076.845
2019-01-08 16 A,2027.9944
2019-01-08 17 A,2265.5964
2019-01-08 18 A,2433.2478
2019-01-08 19 A,2604.0493
2019-01-08 20 A,2690.8713
2019-01-08 21 A,2709.8293
2019-01-08 22 A,2699.4944
2019-01-08 23 A,2801.3123
2019-01-08 24 A,2805.8298
2019-01-09 01 A,2817.503
2019-01-09 02 A,2340.385
2019-01-09 03 A,2892.777
2019-01-09 04 A,2850.268
2019-01-09 05 A,3014.292
2019-01-09 06 A,3041.6252
2019-01-09 07 A,2999.1492
2019-01-09 08 A,3022.5664
2019-01-09 09 A,3018.684
2019-01-09 10 A,3059.2957
2019-01-09 11 A,2882.2947
2019-01-09 12 A,2728.5518
2019-01-09 13 A,2599.795
2019-01-09 14 A,2480.722
2019-01-09 15 A,2355.1973
2019-01-09 16 A,2299.9807
2019-01-09 17 A,2299.9807
2019-01-09 18 A,2319.5571
2019-01-09 19 A,2458.2468
2019-01-09 20 A,2662.8787
2019-01-09 21 A,2683.799
2019-01-09 22 A,2642.0186
2019-01-09 23 A,2634.4705
2019-01-09 24 A,2617.7336
2019-01-10 01 A,2617.7336
2019-01-10 02 A,2765.369
2019-01-10 03 A,2560.2986
2019-01-10 04 A,2626.4407
2019-01-10 05 A,2427.5173
2019-01-10 06 A,2541.1702
2019-01-10 07 A,2541.1702
2019-01-10 08 A,2541.1702
2019-01-10 09 A,2650.1248
2019-01-10 10 A,2555.4426
2019-01-10 11 A,2498.8523
2019-01-10 12 A,2300.0247
2019-01-10 13 A,2086.3413
2019-01-10 14 A,2085.3906
2019-01-10 15 A,2071.5005
2019-01-10 16 A,2068.6323
2019-01-10 17 A,2143.7673
2019-01-10 18 A,2292.3284
2019-01-10 19 A,2231.0793
2019-01-10 20 A,2306.3765
2019-01-10 21 A,2195.8594
2019-01-10 22 A,2238.502
2019-01-10 23 A,2198.626
2019-01-10 24 A,2158.6685
2019-01-11 01 A,2188.6458
2019-01-11 02 A,2170.7468
2019-01-11 03 A,1984.9594
2019-01-11 04 A,2171.9607
2019-01-11 05 A,2416.9292
2019-01-11 06 A,2423.118
2019-01-11 07 A,2429.3665
2019-01-11 08 A,2434.555
2019-01-11 09 A,2200.6501
2019-01-11 10 A,2204.5713
2019-01-11 11 A,2188.2087
2019-01-11 12 A,2195.0159
2019-01-11 13 A,2032.1764
2019-01-11 14 A,1962.2781
2019-01-11 15 A,1894.5486
2019-01-11 16 A,1875.4728
2019-01-11 17 A,1875.4728
