지점,지점명,일시,습도(%)
90,속초,2018-01-01 00:00,23
90,속초,2018-01-01 01:00,28
90,속초,2018-01-01 02:00,29
90,속초,2018-01-01 03:00,28
90,속초,2018-01-01 04:00,27
90,속초,2018-01-01 05:00,26
90,속초,2018-01-01 06:00,23
90,속초,2018-01-01 07:00,24
90,속초,2018-01-01 08:00,25
90,속초,2018-01-01 09:00,23
90,속초,2018-01-01 10:00,20
90,속초,2018-01-01 11:00,18
90,속초,2018-01-01 12:00,19
90,속초,2018-01-01 13:00,19
90,속초,2018-01-01 14:00,17
90,속초,2018-01-01 15:00,17
90,속초,2018-01-01 16:00,16
90,속초,2018-01-01 17:00,17
90,속초,2018-01-01 18:00,19
90,속초,2018-01-01 19:00,21
90,속초,2018-01-01 20:00,22
90,속초,2018-01-01 21:00,20
90,속초,2018-01-01 22:00,22
90,속초,2018-01-01 23:00,21
